code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
00015055U5,6 Rue villaret de joyeuse,ORANGE,2013-03-18,2013-08-29,2023-06-05,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.2898654999656953, 48.87669599983873], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2898654999656953, 'lat': 48.87669599983873}"
7510051980,6 Avenue joseph bedier,SFR,2023-08-03,,,,3G/4G/5G,75013,"{'type': 'Feature', 'geometry': {'coordinates': [2.372431499798343, 48.82075200021268], 'type': 'Point'}, 'properties': {}}","{'lon': 2.372431499798343, 'lat': 48.82075200021268}"
T35915,6 Rue de patay,BOUYGUES,2018-11-15,,,,,75013,"{'type': 'Feature', 'geometry': {'coordinates': [2.376211499798278, 48.824630999805585], 'type': 'Point'}, 'properties': {}}","{'lon': 2.376211499798278, 'lat': 48.824630999805585}"
75108_061_01,61 Rue de rome,FREE MOBILE,2019-06-21,2019-07-15,2023-01-26,,3G/4G/5G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.3215229995808144, 48.879819000371604], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3215229995808144, 'lat': 48.879819000371604}"
751194,61 Rue chardon lagache,SFR,2021-07-30,,,,2G/3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.26460071468648, 48.842390160228284], 'type': 'Point'}, 'properties': {}}","{'lon': 2.26460071468648, 'lat': 48.842390160228284}"
00000107U7,62 Avenue foch,ORANGE,2017-10-18,2017-10-19,,,3G/4G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.2813784993659962, 48.87288899968339], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2813784993659962, 'lat': 48.87288899968339}"
T15872,63 Rue des plantes,BOUYGUES,2013-10-04,,,,,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.3200289997039567, 48.82647600013541], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3200289997039567, 'lat': 48.82647600013541}"
75114_002_01,64 Rue de la sante,FREE MOBILE,2012-04-19,2015-01-22,2023-11-15,,3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.341172733737802, 48.83061813015587], 'type': 'Point'}, 'properties': {}}","{'lon': 2.341172733737802, 'lat': 48.83061813015587}"
7510058662,64 Rue de la santé,SFR,2023-12-29,,,,3G/4G/5G,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.341125000055711, 48.83059800004632], 'type': 'Point'}, 'properties': {}}","{'lon': 2.341125000055711, 'lat': 48.83059800004632}"
75111_080_01,65 Avenue de la république,FREE MOBILE,2020-09-28,2020-07-20,2021-03-19,,3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.378884500583033, 48.86459099966229], 'type': 'Point'}, 'properties': {}}","{'lon': 2.378884500583033, 'lat': 48.86459099966229}"
T10960,65 Rue mademoiselle,BOUYGUES,2013-10-01,,,,,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2993289993532406, 48.84364800024177], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2993289993532406, 'lat': 48.84364800024177}"
00033109U5,6-8 Boulevard de douaumont,ORANGE,2019-08-12,2019-08-12,,,3G/4G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.308157999735483, 48.89612699997302], 'type': 'Point'}, 'properties': {}}","{'lon': 2.308157999735483, 'lat': 48.89612699997302}"
T10653,68 Rue lafayette,BOUYGUES,2000-02-04,,,,,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.344027499780003, 48.87579600036361], 'type': 'Point'}, 'properties': {}}","{'lon': 2.344027499780003, 'lat': 48.87579600036361}"
75111_063_04,69 Boulevard voltaire,FREE MOBILE,2019-11-27,2019-11-27,,,3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.3742269997752476, 48.86150399955012], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3742269997752476, 'lat': 48.86150399955012}"
00000036U7,7 Esplanade henri de france,ORANGE,2013-04-29,2013-04-29,2020-12-10,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.270767808887796, 48.83902254684577], 'type': 'Point'}, 'properties': {}}","{'lon': 2.270767808887796, 'lat': 48.83902254684577}"
00034912U5,7 B rue clovis,ORANGE,2024-05-29,2024-05-29,2024-05-29,,3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.349665999363701, 48.845996999885536], 'type': 'Point'}, 'properties': {}}","{'lon': 2.349665999363701, 'lat': 48.845996999885536}"
75115_016_01,7 Esplanade henri de france,FREE MOBILE,2014-06-06,2014-08-07,,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2707968834670598, 48.83896904318545], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2707968834670598, 'lat': 48.83896904318545}"
750634,73 Rue de la chapelle,SFR,2021-06-03,,,,2G/3G/4G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3587604997023663, 48.896729999658255], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3587604997023663, 'lat': 48.896729999658255}"
75104_008_04,74 Rue de rivoli,FREE MOBILE,2018-03-05,2018-03-05,,,3G/4G/5G,75004,"{'type': 'Feature', 'geometry': {'coordinates': [2.3512049994261357, 48.85769700007947], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3512049994261357, 'lat': 48.85769700007947}"
T35862,77 Boulevard st jacques,BOUYGUES,2020-07-22,,,,,75014,"{'type': 'Feature', 'geometry': {'coordinates': [2.334235500580519, 48.83334300021355], 'type': 'Point'}, 'properties': {}}","{'lon': 2.334235500580519, 'lat': 48.83334300021355}"
00025168U3,78 Rue du ranelagh,ORANGE,2016-01-28,2015-12-15,2024-03-08,,3G/4G/5G,75016,"{'type': 'Feature', 'geometry': {'coordinates': [2.271455999965833, 48.855312000422806], 'type': 'Point'}, 'properties': {}}","{'lon': 2.271455999965833, 'lat': 48.855312000422806}"
T41605,8 Boulevard de denain,BOUYGUES,2022-09-30,,,,,75010,"{'type': 'Feature', 'geometry': {'coordinates': [2.3546430000898395, 48.87929699962017], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3546430000898395, 'lat': 48.87929699962017}"
75105_009_04,8 Rue jean calvin,FREE MOBILE,2016-09-13,2016-09-13,,,3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.3487795001642624, 48.84168600008257], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3487795001642624, 'lat': 48.84168600008257}"
T10579,8 Rue lamarck,BOUYGUES,1996-05-31,,,,,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3444594999930337, 48.88676699988544], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3444594999930337, 'lat': 48.88676699988544}"
T10583,80 Rue stephenson,BOUYGUES,2013-10-01,,,,,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.3559912938852565, 48.890144123231494], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3559912938852565, 'lat': 48.890144123231494}"
